Wavelength (nm),SPD1,SPD2,Difference in Number,Difference in Percentage (%),x1 (Chromaticity SPD1),y1 (Chromaticity SPD1),x2 (Chromaticity SPD2),y2 (Chromaticity SPD2)
360,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
361,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
362,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
363,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
364,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
365,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
366,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
367,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
368,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
369,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
370,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
371,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
372,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
373,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
374,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
375,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
376,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
377,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
378,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
379,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
380,-0.0259,-0.0518,-0.0259,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
381,-0.016,-0.032,-0.016,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
382,-0.01595,-0.0319,-0.01595,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
383,-0.01995,-0.0399,-0.01995,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
384,-0.02725,-0.0545,-0.02725,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
385,-0.0048,-0.0096,-0.0048,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
386,-0.01205,-0.0241,-0.01205,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
387,-0.01485,-0.0297,-0.01485,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
388,-0.01825,-0.0365,-0.01825,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
389,-0.0229,-0.0458,-0.0229,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
390,-0.01685,-0.0337,-0.01685,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
391,-0.02525,-0.0505,-0.02525,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
392,-0.0289,-0.0578,-0.0289,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
393,-0.02105,-0.0421,-0.02105,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
394,-0.0219,-0.0438,-0.0219,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
395,-0.02835,-0.0567,-0.02835,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
396,-0.03015,-0.0603,-0.03015,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
397,-0.0339,-0.0678,-0.0339,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
398,-0.0244,-0.0488,-0.0244,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
399,-0.02805,-0.0561,-0.02805,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
400,-0.02715,-0.0543,-0.02715,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
401,-0.0236,-0.0472,-0.0236,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
402,-0.025,-0.05,-0.025,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
403,-0.0277,-0.0554,-0.0277,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
404,-0.027,-0.054,-0.027,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
405,-0.0261,-0.0522,-0.0261,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
406,-0.0228,-0.0456,-0.0228,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
407,-0.02145,-0.0429,-0.02145,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
408,-0.01955,-0.0391,-0.01955,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
409,-0.0213,-0.0426,-0.0213,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
410,-0.0196,-0.0392,-0.0196,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
411,-0.0183,-0.0366,-0.0183,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
412,-0.0163,-0.0326,-0.0163,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
413,-0.0157,-0.0314,-0.0157,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
414,-0.0165,-0.033,-0.0165,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
415,-0.0169,-0.0338,-0.0169,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
416,-0.0135,-0.027,-0.0135,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
417,-0.0163,-0.0326,-0.0163,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
418,-0.01805,-0.0361,-0.01805,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
419,-0.0156,-0.0312,-0.0156,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
420,-0.01395,-0.0279,-0.01395,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
421,-0.01645,-0.0329,-0.01645,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
422,-0.01805,-0.0361,-0.01805,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
423,-0.01475,-0.0295,-0.01475,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
424,-0.02085,-0.0417,-0.02085,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
425,-0.0207,-0.0414,-0.0207,100.0,-0.031000325576537174,-0.19184611485501565,-0.031000325576537174,-0.19184611485501565
